Date,PPO,DQN,EW,BH
2024-02-01 05:00:00,0.010620756390652594,0.010620756390652594,0.01362682095610081,0.01362682095610081
2024-02-02 05:00:00,0.027380043134089267,0.027380043134089267,0.012597774070949721,0.012563613192165111
2024-02-05 05:00:00,0.02607393232203931,0.02607393232203931,0.005007175810314378,0.004949521536161893
2024-02-06 05:00:00,0.024064647837652196,0.024064647837652196,0.008882072507564011,0.00883461485063477
2024-02-07 05:00:00,0.034302155298309,0.034302155298309,0.012369006688731638,0.012308789076527209
2024-02-08 05:00:00,0.03615251937148903,0.03615251937148903,0.011330947662520671,0.011262258826114159
2024-02-09 05:00:00,0.0459473817194032,0.0459473817194032,0.01388771951692764,0.013813773068863831
2024-02-12 05:00:00,0.04202715339109405,0.04202715339109405,0.012397821308564164,0.012329520692780954
2024-02-13 05:00:00,0.026307147658639115,0.026307147658639115,-0.0027695137434715477,-0.002841725623278944
2024-02-14 05:00:00,0.03714555969808391,0.03714555969808391,0.003425947002025524,0.003354878422102126
2024-02-15 05:00:00,0.04011884874157481,0.04011884874157481,0.008838337009620272,0.008766859372716165
2024-02-16 05:00:00,0.03100973951865571,0.03100973951865571,0.0047164470705295435,0.004638982943091207
2024-02-20 05:00:00,0.02343292938857048,0.02343292938857048,0.00305630388221921,0.0029796169755890237
2024-02-21 05:00:00,0.019423186579596595,0.019423186579596595,0.0005774219336124055,0.000492427851970012
2024-02-22 05:00:00,0.048054663350407686,0.048054663350407686,0.014554173384618238,0.014459242684913078
2024-02-23 05:00:00,0.0448867328775368,0.0448867328775368,0.018504334800839507,0.018424856436782447
2024-02-26 05:00:00,0.044154897571129115,0.044154897571129115,0.016162237991528126,0.016081092395272376
2024-02-27 05:00:00,0.04635259146508859,0.04635259146508859,0.01532443066981543,0.015232831874550969
2024-02-28 05:00:00,0.04080701939895076,0.04080701939895076,0.015548721769502635,0.01546725800854244
2024-02-29 05:00:00,0.049134881006339864,0.049134881006339864,0.021612130139062942,0.021531930889355223
2024-03-01 05:00:00,0.06386321587009444,0.06386321587009444,0.033921351427753085,0.03388935236130847
2024-03-04 05:00:00,0.0600749657710234,0.0600749657710234,0.03579753704143284,0.035735776188981695
2024-03-05 05:00:00,0.04172881183813708,0.04172881183813708,0.03390754149447298,0.0334405351174964
2024-03-06 05:00:00,0.047773888263708646,0.047773888263708646,0.0402590253453339,0.03978403865887913
2024-03-07 05:00:00,0.06261336515581963,0.06261336515581963,0.047614466250459966,0.04732592230255042
2024-03-08 05:00:00,0.04783432058070635,0.04783432058070635,0.044281510285580826,0.04383324962501819
2024-03-11 04:00:00,0.0438802437950556,0.0438802437950556,0.04350757442240102,0.04302479134533533
2024-03-12 04:00:00,0.05787523663280669,0.05787523663280669,0.044712547467497255,0.04454918894159027
2024-03-13 04:00:00,0.04991785703002574,0.04991785703002574,0.04301870084529393,0.042822365951214705
2024-03-14 04:00:00,0.04719747092426852,0.04719747092426852,0.037009620970466346,0.03697822593885452
2024-03-15 04:00:00,0.03503463169089405,0.03503463169089405,0.031450221591908356,0.031288307154400195
2024-03-18 04:00:00,0.04431623459670821,0.04431623459670821,0.03492993323726319,0.034916734030188544
2024-03-19 04:00:00,0.046594019336737034,0.046594019336737034,0.037320594102271246,0.03733397731883378
2024-03-20 04:00:00,0.058165138320717756,0.058165138320717756,0.04551773568811486,0.04565944669589239
2024-03-21 04:00:00,0.06267289198636163,0.06267289198636163,0.04776684600516415,0.0479459171357205
2024-03-22 04:00:00,0.0636159868343059,0.0636159868343059,0.04782406470933991,0.04790729621932645
2024-03-25 04:00:00,0.05977992136229124,0.05977992136229124,0.04582155758534417,0.04590854516491558
2024-03-26 04:00:00,0.05636079723454679,0.05636079723454679,0.04607066456928981,0.04607660064401831
2024-03-27 04:00:00,0.05958662448796669,0.05958662448796669,0.05328967153433407,0.05324028450153608
2024-03-28 04:00:00,0.05758374882437606,0.05758374882437606,0.05590937276682092,0.05581900995521498
2024-04-01 04:00:00,0.05956063538134658,0.05956063538134658,0.05404126336684042,0.05419739160574056
2024-04-02 04:00:00,0.05074854959064004,0.05074854959064004,0.052608612789668864,0.05297592442837812
2024-04-03 04:00:00,0.05286480922168312,0.05286480922168312,0.05560890749566693,0.056093455583166606
2024-04-04 04:00:00,0.03731347546207643,0.03731347546207643,0.04907944556415754,0.04921928901949492
2024-04-05 04:00:00,0.048873690935462406,0.048873690935462406,0.05540954433837639,0.0561418265920803
2024-04-08 04:00:00,0.04902849779902284,0.04902849779902284,0.057202282512698634,0.058012124862591455
2024-04-09 04:00:00,0.052587282403391,0.052587282403391,0.06210547781687858,0.06280253949408535
2024-04-10 04:00:00,0.043678925069726864,0.043678925069726864,0.04956200217497786,0.05051889896730924
2024-04-11 04:00:00,0.059369309981720575,0.059369309981720575,0.059281844035310255,0.06064535789542114
2024-04-12 04:00:00,0.043129447012840244,0.043129447012840244,0.04966952885786297,0.050635426168362814
2024-04-15 04:00:00,0.026355982869770218,0.026355982869770218,0.04361195513139692,0.04498959519335805
2024-04-16 04:00:00,0.026262965672624185,0.026262965672624185,0.04190581031475735,0.04342394058034079
2024-04-17 04:00:00,0.0137939192912234,0.0137939192912234,0.03815796485232034,0.03928992450894397
2024-04-18 04:00:00,0.007880795451041717,0.007880795451041717,0.0359489245253979,0.0371974846136168
2024-04-19 04:00:00,-0.013234638917097294,-0.013234638917097294,0.03052222904363711,0.03162032631761669
2024-04-22 04:00:00,-0.003447591347222549,-0.003447591347222549,0.0280137176270437,0.028939423324934363
