Datetime,PPO,DQN,PPO_LSTM,EW,BH
2025-01-14 14:30:00,0.0008920852997519848,-0.0016318180329320555,-0.0008175567873341205,0.0013732094929518024,0.0013732094929518024
2025-01-14 15:30:00,-0.002788176843779912,-0.005566564294325376,-0.001718214122788643,-0.0005051209597153931,-0.0005108961009409913
2025-01-14 16:30:00,-0.005321391999121796,-0.007531125217762401,-0.0023900442346997896,-0.0021484863177935846,-0.0021542173087910994
2025-01-14 17:30:00,-0.005714750199695486,-0.0035714580759628224,-0.002807228157872165,-0.00022414136852231788,-0.0002269926403529951
2025-01-14 18:30:00,-0.004171864250894679,-0.0018205460906498055,-0.0012598109715746097,0.0013338640284674221,0.0013321967813225773
2025-01-14 19:30:00,-0.003867855502845153,-0.006203745398184914,-0.0009438626230839349,-0.0010844324555587975,-0.0010928565771297799
2025-01-14 20:30:00,-0.0029774497413693974,-0.0032794439064298634,-5.5155130034056964e-05,0.0010393905246762567,0.0010337126962692367
2025-01-15 14:30:00,-0.0010078999989231907,0.013987637824762285,0.0019285568396076801,0.01598948494806668,0.015977156755916645
2025-01-15 15:30:00,-0.000576717604566662,0.011773691062780322,0.0023561787486499623,0.013941488397106351,0.013932083584151158
2025-01-15 16:30:00,0.002382025460814387,0.011942731184292819,0.005314900002841217,0.014922322118886763,0.014912845956040633
2025-01-15 17:30:00,0.0036327766629536433,0.013886341932832115,0.006561749242506598,0.01636276310895482,0.01635639836653315
2025-01-15 18:30:00,0.0035596006146377014,0.01528667464536958,0.00648991356027063,0.017273201423379833,0.017266886518192557
2025-01-15 19:30:00,0.0041204519559652295,0.016280998687542188,0.00705004630524534,0.017746226711047672,0.017742142827535327
2025-01-15 20:30:00,0.004506468487423381,0.014713308760989316,0.007446701923447388,0.017248455370087935,0.017241369521767275
2025-01-16 14:30:00,0.012100403051402402,0.013907879761633327,0.015032097247898949,0.018478069134989644,0.01847568971649741
2025-01-16 15:30:00,0.012186773228271428,0.015725175432427144,0.015130861959226109,0.02033602250477324,0.020329685125425902
2025-01-16 16:30:00,0.013535885798062135,0.016432626692013827,0.01648497324177392,0.02146864302039024,0.021460918074855655
2025-01-16 17:30:00,0.011904357033227592,0.013869441110771558,0.014857890498142482,0.01930775624631897,0.019297668484350966
2025-01-16 18:30:00,0.011140425162659413,0.010215541827061036,0.014104919663654429,0.01988011685830681,0.01986611933227785
2025-01-16 19:30:00,0.011233350457238729,0.005351115680396942,0.014195736046416564,0.01920267086687561,0.019190763960562233
2025-01-16 20:30:00,0.011240097400237601,0.004354543287039032,0.0142017614725005,0.01771693961591915,0.017703986275335624
2025-01-17 14:30:00,0.01054140568399981,0.01322158477167528,0.013506683881827165,0.024297683741351633,0.0242883204217971
2025-01-17 15:30:00,0.011270103389925191,0.016232356682918322,0.014224393876270225,0.02563704423257719,0.025635503906270982
2025-01-17 16:30:00,0.010075689925243167,0.01658498691056996,0.013033845461941045,0.0253189125830504,0.025317156297591615
2025-01-17 17:30:00,0.008886308705061645,0.016666502214909652,0.011850384035693527,0.0257040928150119,0.025700705796039294
2025-01-17 18:30:00,0.00827818635908334,0.015692775230857173,0.011242361402445833,0.02444554867051016,0.024444257547336853
2025-01-17 19:30:00,0.0067181429999338856,0.015112696205096006,0.009689732528311809,0.02376631763313182,0.023762235213797077
2025-01-17 20:30:00,0.006032788167384185,0.014192714858372446,0.009011687109579931,0.0233863810849295,0.023381693402955976
2025-01-21 14:30:00,0.0185723116451358,0.01887588735821733,0.021561304139996667,0.030255385348007428,0.030248193413385617
2025-01-21 15:30:00,0.020453580450429103,0.01958363268644706,0.02344215461996376,0.030805771816945566,0.030799359746434083
2025-01-21 16:30:00,0.021841181142075963,0.020914328784377496,0.024826513729038664,0.031985354449217955,0.03198305614545237
2025-01-21 17:30:00,0.02163319930667549,0.022591849343134223,0.024616598911366184,0.03283437660187949,0.03283479315577897
2025-01-21 18:30:00,0.021138002190157372,0.0222266393167191,0.024128016593245098,0.032742862965958686,0.03274133614926856
2025-01-21 19:30:00,0.020665898072482255,0.022790961784389965,0.02365894673700328,0.032875672881541945,0.03287391794664517
2025-01-21 20:30:00,0.02121320757378017,0.023139262571152477,0.024210010688962343,0.033070197783910696,0.03306659496555207
2025-01-22 14:30:00,0.025449972994135706,0.02938922804257752,0.028429646545534662,0.03846820170661535,0.03847951986734585
2025-01-22 15:30:00,0.02662500814980515,0.030274735939084866,0.0295998083698152,0.03896698606439794,0.03898269313938084
2025-01-22 16:30:00,0.02654813654366029,0.030789229236346756,0.029517203988014353,0.03877657377348905,0.03879556542969365
2025-01-22 17:30:00,0.027047539082970626,0.02999275770865003,0.030022382276982295,0.03841629427886219,0.03843236409379439
2025-01-22 18:30:00,0.025872268692713293,0.02572709264396395,0.028852929261701656,0.03820300139030163,0.03821787061159216
2025-01-22 19:30:00,0.02602684353277135,0.0218843793342667,0.029010390256227626,0.03836831598748806,0.03838270697452614
2025-01-22 20:30:00,0.026410358254669943,0.020598851414089743,0.029394491901252384,0.03773651592485824,0.037751397610608604
2025-01-23 14:30:00,0.021141917500272354,0.01959223226743179,0.024108678752177468,0.032960029217892456,0.03298166273982019
2025-01-23 15:30:00,0.023998494671420893,0.02252657434060378,0.026968508936899477,0.035629539910294564,0.035650935730605446
2025-01-23 16:30:00,0.02545826565630218,0.02196671188069552,0.028420103512397234,0.03480576055637256,0.03483159417009152
2025-01-23 17:30:00,0.026187819833304656,0.02330810879697206,0.029150438259302622,0.03588333032398367,0.03590964119949384
