,AnnRet,AnnVol,Sharpe,MaxDD
PPO,0.005578365509222201,0.020469293904145782,0.272523592414678,-0.01607650610523145
DQN,0.005578365509222201,0.020469293904145782,0.272523592414678,-0.01607650610523145
EW,0.017208260604212024,0.03579632751827618,0.4807269850502246,-0.03743068453456759
BH,0.017152684264936695,0.0358086408492037,0.47900964285940273,-0.037446049453227735
