Date,PPO,DQN,PPO_LSTM,EW,BH
2024-02-01 05:00:00,0.012035473677889902,0.01162075636591675,0.011905531244775341,0.01362682095610081,0.01362682095610081
2024-02-02 05:00:00,0.022019416628780573,0.026808318044768444,0.020529712032612585,0.012597774070949721,0.012563613192165111
2024-02-05 05:00:00,0.020019251798751966,0.024916748722620778,0.018864195225932346,0.005007175810314378,0.004949521536161893
2024-02-06 05:00:00,0.01814830163282962,0.024134565507424172,0.017016071214597913,0.008882072507564011,0.00883461485063477
2024-02-07 05:00:00,0.028144779386354964,0.03388916106487862,0.02708627714145257,0.012369006688731638,0.012308789076527209
2024-02-08 05:00:00,0.02982150107205042,0.03538733195564216,0.028871525390443537,0.011330947662520671,0.011262258826114159
2024-02-09 05:00:00,0.03935008140732667,0.0441741699442838,0.03846396343178435,0.01388771951692764,0.013813773068863831
2024-02-12 05:00:00,0.03544846294121683,0.04112425093097039,0.03460773739523596,0.012397821308564164,0.012329520692780954
2024-02-13 05:00:00,0.0196791553631421,0.025867041566763165,0.018917485275430683,-0.0027695137434715477,-0.002841725623278944
2024-02-14 05:00:00,0.030273503772292383,0.03625751796722676,0.029616874785384547,0.003425947002025524,0.003354878422102126
2024-02-15 05:00:00,0.03330216148684675,0.04020648532413964,0.032670120489032076,0.008838337009620272,0.008766859372716165
2024-02-16 05:00:00,0.024234905759160184,0.03212653122832179,0.0237270624088583,0.0047164470705295435,0.004638982943091207
2024-02-20 05:00:00,0.016823730787806045,0.025063786556348396,0.016320339337852853,0.00305630388221921,0.0029796169755890237
2024-02-21 05:00:00,0.012858956426306245,0.0222828540381628,0.01238588196066387,0.0005774219336124055,0.000492427851970012
2024-02-22 05:00:00,0.04132532637308178,0.04904537623745553,0.04082345842961481,0.014554173384618238,0.014459242684913078
2024-02-23 05:00:00,0.03853097531783164,0.0470059776589065,0.03804216760239807,0.018504334800839507,0.018424856436782447
2024-02-26 05:00:00,0.037870465785511453,0.0456935884234027,0.03746015814234957,0.016162237991528126,0.016081092395272376
2024-02-27 05:00:00,0.0400294141393957,0.047959351167822274,0.03979432277977443,0.01532443066981543,0.015232831874550969
2024-02-28 05:00:00,0.03485563904509524,0.04062464274718615,0.03459893957742191,0.015548721769502635,0.01546725800854244
2024-02-29 05:00:00,0.043278609486512645,0.04379607737813446,0.04304656252355735,0.021612130139062942,0.021531930889355223
2024-03-01 05:00:00,0.0581037429330016,0.057340761993007326,0.05793878481525237,0.033921351427753085,0.03388935236130847
2024-03-04 05:00:00,0.054577361829035186,0.05439164421720959,0.05456208731436088,0.03579753704143284,0.035735776188981695
2024-03-05 05:00:00,0.03743757996980866,0.03829597078837934,0.036853579714344234,0.03390754149447298,0.0334405351174964
2024-03-06 05:00:00,0.04366325319431969,0.044257601157114745,0.043120973403469806,0.0402590253453339,0.03978403865887913
2024-03-07 05:00:00,0.058503280166805005,0.05802507307564411,0.05799532919932565,0.047614466250459966,0.04732592230255042
2024-03-08 05:00:00,0.044258031334337866,0.04561487759289984,0.043788057548903296,0.044281510285580826,0.04383324962501819
2024-03-11 04:00:00,0.04060928436103381,0.04261011672252436,0.040157413184798096,0.04350757442240102,0.04302479134533533
2024-03-12 04:00:00,0.054498391518290376,0.05596003773052498,0.05405485344366791,0.044712547467497255,0.04454918894159027
2024-03-13 04:00:00,0.04692756179804533,0.04978107298418706,0.04654137519173132,0.04301870084529393,0.042822365951214705
2024-03-14 04:00:00,0.04430682094632158,0.04739305823171664,0.04396410059115507,0.037009620970466346,0.03697822593885452
2024-03-15 04:00:00,0.0325370883574217,0.036701881245834636,0.032174183804240856,0.031450221591908356,0.031288307154400195
2024-03-18 04:00:00,0.041792150558552996,0.04530243837110759,0.041518148194951116,0.03492993323726319,0.034916734030188544
2024-03-19 04:00:00,0.04425859119505699,0.04855423902805682,0.04400628234274753,0.037320594102271246,0.03733397731883378
2024-03-20 04:00:00,0.05596338577749345,0.0596960911573054,0.0557267680566748,0.04551773568811486,0.04565944669589239
2024-03-21 04:00:00,0.06053602961524577,0.06406168602805276,0.06037365005567911,0.04776684600516415,0.0479459171357205
2024-03-22 04:00:00,0.06172759790784976,0.06444468249285139,0.06143272904506971,0.04782406470933991,0.04790729621932645
2024-03-25 04:00:00,0.058081088854016805,0.061026115088523174,0.05786151729487741,0.04582155758534417,0.04590854516491558
2024-03-26 04:00:00,0.05488347437652278,0.058131746723549135,0.054710388335907155,0.04607066456928981,0.04607660064401831
2024-03-27 04:00:00,0.05834915152543618,0.06277422376922773,0.058216724223607935,0.05328967153433407,0.05324028450153608
2024-03-28 04:00:00,0.05660126444211104,0.06134265916615293,0.056521824461891315,0.05590937276682092,0.05581900995521498
2024-04-01 04:00:00,0.05855198002112879,0.06249342065788017,0.05859832122388792,0.05404126336684042,0.05419739160574056
2024-04-02 04:00:00,0.05024306192790648,0.05439807757671102,0.05017135605053632,0.052608612789668864,0.05297592442837812
2024-04-03 04:00:00,0.05244088927376019,0.056353862982005544,0.05245083240975487,0.05560890749566693,0.056093455583166606
2024-04-04 04:00:00,0.03733239244013137,0.04172700370745235,0.037235411520078296,0.04907944556415754,0.04921928901949492
2024-04-05 04:00:00,0.048887726986524854,0.05311144484811832,0.04889692612744359,0.05540954433837639,0.0561418265920803
2024-04-08 04:00:00,0.049206921664818506,0.053472597291214494,0.04924582932643541,0.057202282512698634,0.058012124862591455
2024-04-09 04:00:00,0.05288140123813538,0.05653117140883928,0.05294748273358732,0.06210547781687858,0.06280253949408535
