Block,Freq,FeatureCfg,Reward,Model,AnnRet,AnnVol,Sharpe,MaxDD,EW_Sharpe,BH_Sharpe
feature,daily,F0,risk,PPO,0.16114177219083758,0.21364343317575382,0.754255676361089,-0.27505344372848306,1.809483932598695,1.8745222527567045
feature,daily,F1,risk,PPO,0.1390688392236739,0.1771784594364921,0.7849082764642554,-0.21578714265411789,1.751201757265746,1.8206295911443695
feature,daily,F2,risk,PPO,-0.005270202999406411,0.18562492794978808,-0.028391677010124523,-0.33034589227531475,1.751201757265746,1.8206295911443695
feature,daily,F3,risk,PPO,0.14284387324480893,0.16749753721237826,0.852811782317954,-0.21577470511207372,1.751201757265746,1.8206295911443695
feature,hourly,F0,risk,PPO,0.31366869292758764,0.18015547463954176,1.7410999779686982,-0.11318774353802896,1.9819944803777243,2.1068247917131053
feature,hourly,F1,risk,PPO,0.03752160138685458,0.17623608521415446,0.21290532719815608,-0.23955176965797834,2.016862056025809,2.13451220218601
feature,hourly,F2,risk,PPO,-0.10312478218866361,0.1872366477095813,-0.5507724232921936,-0.2544172908177581,2.016862056025809,2.13451220218601
feature,hourly,F3,risk,PPO,0.06158698629563949,0.21401377365015672,0.2877711338150904,-0.2917555546633726,2.016862056025809,2.13451220218601
